capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
mod/wiki:editpage,X,NULL,X,X,"X,X,X,X,X,X",NULL,X,"X,X","X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/wiki:managecomment,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/wiki:managefiles,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/wiki:managewiki,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/wiki:overridelock,X,NULL,X,X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/wiki:viewcomment,X,NULL,X,X,"X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/wiki:viewpage,X,NULL,X,X,"X,X",X,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/workshop:addinstance,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/workshop:allocate,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:deletesubmissions,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:editdimensions,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:ignoredeadlines,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:manageexamples,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:overridegrades,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:peerassess,NULL,NULL,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/workshop:publishsubmissions,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:submit,NULL,NULL,NULL,NULL,X,NULL,NULL,X,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/workshop:switchphase,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:view,X,NULL,X,X,X,X,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/workshop:viewallassessments,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:viewallsubmissions,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
mod/workshop:viewauthornames,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/workshop:viewauthorpublished,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/workshop:viewpublishedsubmissions,X,NULL,X,X,"X,X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X
mod/workshop:viewreviewernames,X,NULL,X,X,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,X,NULL,"X,X,X,X,X,X,X,X,X,X,X,X,X",NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
moodle/backup:anonymise,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/backup:backupactivity,X,NULL,"X,X,X,X",NULL,"X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,"X,X,X,X","X,X",NULL,NULL,X,NULL,NULL,NULL,NULL
moodle/backup:backupcourse,X,X,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/backup:backupsection,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/backup:backuptargethub,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/backup:backuptargetimport,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/backup:configure,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/backup:downloadfile,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/backup:userinfo,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/badges:awardbadge,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/badges:configurecriteria,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/badges:configuredetails,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/badges:configuremessages,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/badges:createbadge,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/badges:deletebadge,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/badges:earnbadge,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/badges:manageglobalsettings,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/badges:manageownbadges,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/badges:viewawarded,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/badges:viewbadges,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/badges:viewotherbadges,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/block:edit,NULL,NULL,"X,X",NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
moodle/block:view,"X,X","X,X","X,X,X,X,X,X,X,X","X,X,X","X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","X,X,X","X,X","X,X","X,X,X,X,X,X,X,X,X,X","X,X",NULL,"X,X","X,X","X,X",NULL,"X,X",NULL,NULL,"X,X","X,X",NULL,NULL,"X,X",NULL,"X,X","X,X","X,X"
moodle/blog:create,X,X,X,X,X,X,X,X,X,X,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/blog:manageentries,X,NULL,X,X,"X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/blog:manageexternal,X,NULL,X,X,X,NULL,X,X,X,X,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/blog:search,X,NULL,X,X,X,X,X,X,X,X,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/blog:view,X,X,X,X,"X,X,X,X,X,X,X,X,X","X,X",X,NULL,X,X,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/blog:viewdrafts,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/calendar:manageentries,X,NULL,X,X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/calendar:managegroupentries,X,NULL,X,X,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/calendar:manageownentries,X,X,X,X,"X,X,X,X,X,X,X,X,X","X,X",X,NULL,X,X,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/category:manage,X,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/category:viewhiddencategories,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/cohort:assign,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/cohort:manage,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/cohort:view,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/comment:delete,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/comment:post,X,NULL,X,X,X,NULL,X,X,X,X,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/comment:view,X,NULL,X,X,"X,X,X,X",X,X,X,X,X,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
moodle/community:add,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/community:download,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/competency:competencygrade,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/competency:competencymanage,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:competencyview,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:coursecompetencyconfigure,X,NULL,"X,X",X,"X,X",NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:coursecompetencygradable,NULL,NULL,NULL,NULL,X,NULL,NULL,X,"X,X",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
moodle/competency:coursecompetencymanage,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/competency:coursecompetencyview,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:evidencedelete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
moodle/competency:plancomment,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:plancommentown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:planmanage,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:planmanagedraft,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:planrequestreview,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:planrequestreviewown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:planreview,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:planview,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:planviewdraft,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:planviewown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:templatemanage,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:templateview,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:usercompetencycomment,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:usercompetencycommentown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:usercompetencyrequestreview,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:usercompetencyrequestreviewown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:usercompetencyreview,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:usercompetencyview,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/competency:userevidencemanage,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:userevidencemanageown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
moodle/competency:userevidenceview,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/course:activityvisibility,"X,X",NULL,"X,X,X,X,X,X,X","X,X","X,X,X,X,X,X,X,X,X,X,X,X",X,X,NULL,"X,X",NULL,NULL,NULL,NULL,"X,X",NULL,NULL,NULL,NULL,"X,X,X,X","X,X",NULL,NULL,X,NULL,X,NULL,NULL
moodle/course:bulkmessaging,X,NULL,X,X,"X,X,X,X,X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/course:changecategory,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:changefullname,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:changeidnumber,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:changeshortname,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:changesummary,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/course:create,X,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
moodle/course:delete,X,"X,X",NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/course:enrolconfig,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:enrolreview,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:isincompletionreports,NULL,NULL,NULL,NULL,X,NULL,NULL,X,"X,X",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
moodle/course:manageactivities,X,NULL,"X,X,X,X,X,X",NULL,"X,X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,"X,X,X,X","X,X",NULL,NULL,X,NULL,X,NULL,NULL
moodle/course:managefiles,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/course:managegroups,X,NULL,X,NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:managescales,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:markcomplete,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:movesections,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:publish,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
moodle/course:renameroles,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:request,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
moodle/course:reset,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:reviewotherusers,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:sectionvisibility,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
moodle/course:setcurrentsection,X,NULL,"X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:tag,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
moodle/course:update,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
